id,projectName,startDate,endDate,imageCount,onOldWebsite,needsRepairDetails,needsSkills,itemDetails,repairDetails_current,skills_current,repairDetails_FILL_IN,skills_FILL_IN
0008,Large floppy brown cream dog,2024-01-01,2024-01-01,1,Yes,Yes,No,"Brown and cream floppy-eared dog plush (lying pose). Shaggy medium-brown pile on body, head, and long ears; smoother tan/cream velour-style muzzle, forehead patch, and paw tips; dark brown fabric nose; small black bead eyes. No visible brand tag or label in hero image—likely generic retail/gift plush (1990s–2000s styles similar to Russ, Aurora, or department-store lines). Non-electronic; fabric and stuffing only. Market: everyday plush; identify maker from tush tag if found during repair.",Fluffy dog toy repair (legacy site gallery — short caption only; expand story when details are available).,plush,,
0009,Hey Duggee interactive plush,2024-01-01,2024-01-01,14,Yes,Yes,No,"Hey Duggee interactive plush (BBC Studios / Studio Aardman; licensed by Golden Bear Toys). Large brown dog in yellow Squirrel Club uniform, blue tie knot, embroidered activity badges on chest (music, bird, diamond, purple circle variants visible). Official lines include Talking Musical Duggee (~25 cm, badge press for theme tune) and larger Interactive Duggee (voice-activated responses, lights in chest, songs/sounds from show). Project title implies sound/motion electronics inside. Batteries typically AAA in badge/body compartment. Materials: soft plush, embroidered appliqué badges. Market: current children’s licensed plush; repair usually wiring, switch, or battery corrosion. Sources: Golden Bear / heyduggee.com product pages.",Duggee with sound and motion (legacy site gallery — short caption only; expand story when details are available).,"plush, electronic",,
0010,Guitar Hero World Tour guitar,2024-01-01,2024-01-01,1,Yes,Yes,No,"Red Octane wireless Guitar Hero World Tour guitar controller for Microsoft Xbox 360 (model 95457.805; sunburst red-to-black metallic finish, white pickguard). Five coloured fret buttons (green/red/yellow/blue/orange), touch-sensitive neck slider strip (World Tour / GH5 era), strum bar, whammy bar, Star Power / Back button, Xbox guide-compatible D-pad cluster. 2.4 GHz wireless (receiver dongle not shown in hero). Manufacturer: Red Octane (Activision publishing era). Market: legacy rhythm-game peripheral; used sunburst units common on eBay. Note: game console, not a toy—electronics and switch repair typical.",X-box Guitar hero console (legacy site gallery — short caption only; expand story when details are available).,"electronic, mechanical",,
0011,Ahsoka Tano Legacy lightsabers,2024-01-01,2024-01-01,1,Yes,Yes,No,"Disney Parks Star Wars: Galaxy’s Edge Ahsoka Tano Legacy Lightsaber Set (shopDisney / Walt Disney Imagineering collectible, released 2023). Pair: single-blade saber (~14.5 in hilt) and shoto saber (~10.3 in hilt), both curved silver hilts with grey side panels and white diamond accents; white translucent blades (Ahsoka-specific; not interchangeable with standard Legacy blades). Features: motion and clash sensors, film-style hum/clash SFX, rechargeable/removable blades, 3× AAA per hilt. Character design from Star Wars Rebels / The Mandalorian / Ahsoka (white blades). Ages 14+. Market: premium sold-out collectible; hilt-only and signed LE variants also exist. Repair scope likely electronics, blade contact, or battery box.",Hilt lightsabers (legacy site gallery — short caption only; expand story when details are available).,electronic,,
0012,Jakks First Order Stormtrooper Battle Buddy,2024-01-01,2024-01-01,1,Yes,Yes,No,"Jakks Pacific Star Wars: The Force Awakens First Order Stormtrooper Battle Buddy (Colossal Big-Figs line; ~48 in / 122 cm tall). Full-body white and black First Order armour sculpt; TRY ME retail packaging indicates built-in electronics—motion presence detection with movie lines and sound effects; poseable elbow for blaster arm. UPC 039897908335 documented. Materials: moulded plastic, battery compartment (typical for Jakks large figs). Market: 2015–2016 retail (~AUD/USD $50–100 when new); oversized display/collectible, heavy and bulky for storage. Sources: Zavvi / UPC listings; eBay Battle Buddy descriptions.",Giant Stormtrooper (legacy site gallery — short caption only; expand story when details are available).,"plush, electronic",,
0013,Press-heart talking bear,2024-01-01,2024-01-01,1,Yes,Yes,No,"Vintage brown plush talking teddy bear with cream muzzle and black oval nose; red heart patch on foot embroidered Press in white script (press-to-play voice module). Shaggy synthetic pile, seated style; small blue tag remnant at ear suggests retail label removed. Typical of 1980s–1990s Hong Kong/Taiwan/Korea sound-in-plush imports (exact OEM brand not confirmed from photos—compare to Emson, PBC, or gift-line bears with heart foot switches). Electronics: battery box and speaker in body, activation via foot switch. Market: nostalgic plush; value modest unless brand/tag identified. Confirm manufacturer from battery door or sewn label if opened for repair.",Vintage talking bear (legacy site gallery — short caption only; expand story when details are available).,"plush, electronic",,
0014,Tomy Big Loader power unit,2024-01-01,2024-01-01,2,Yes,Yes,No,"Tomy Big Loader construction-toy system components (Japanese Tomy; also sold as Big Big Loader and regional Thomas/Postman Pat branded sets). Hero/primary unit: dark blue/teal motorized power chassis—squat four-wheel trapezoid, forward arrow on top (direction for track travel), front bumper peg, internal reversing gearbox driving knobby black wheels; AA battery (one or two depending on revision—1977 US orange chassis vs later Thailand-made variants). After photo: two white plastic shell bodies (same chassis footprint, arrow on top, rear coupling peg, front hitch) that mount on the power unit at track stations. Continuous loop track moves rocks between dump truck, loader, and hopper accessories (not all parts in folder). Era: 1977–1990s popular battery toy. Market: vintage Tomy collectible; repair usually motor, contacts, or gear lint. Sources: Big Loader collector guides.",Tomy toy car (legacy site gallery — two photos on homepage; expand story when details are available).,"electronic, mechanical",,
0015,Anpanman Kotoba Zukan DX,2025-06-25,2025-06-25,1,Yes,Yes,No,"Sega Toys (Sega Fave) アンパンマン おしゃべりいっぱい! ことばずかんDX / Anpanman Oshaberi Ippai! Kotoba Zukan DX (Word Encyclopedia DX; released 2017). White briefcase-style electronic book with orange carry handle; cover art Anpanman and friends; bundled yellow Anpanman-head touch pen (おしゃべりペン) with power button—touch illustrations to hear Japanese words and English (cover notes 英語もしゃべるよ). ~2,200+ vocabulary, ~50 character voices, quiz and song modes; picture book pages inside. Power: 2× AA (typical). Successor lines include Super DX and 2021 Premium (more words, recording). Market: popular Japanese preschool educational toy; DX out of production but common second-hand. Repair: pen contact, speaker, or battery corrosion. Source: Sega Toys product listings / kotoba zukan comparisons.",Anpanman reading pen (legacy site gallery — short caption only; expand story when details are available).,"plush, electronic",,
0016,Grey bashful bunny plush,2025-02-09,2025-02-09,6,No,Yes,No,"This grey bashful bunny is a soft plush rabbit in the contemporary nursery/gift style that has been widely sold since the 2000s. The ""bashful"" naming convention is common across boutique plush ranges and usually indicates a floppy, long-limbed rabbit designed for cuddling and display.

Construction is generally polyester plush fabric with polyester fiber fill and safety-stitched facial details. Market value is usually in the everyday gift-plush range, with stronger prices only when a recognized brand tag, original swing tag, and clean condition are present.",,plush,,
0017,Soft jacket repair,2024-01-01,2024-01-01,0,No,Yes,No,,,plush,,
0018,Power Rangers Dino Megazord RC,2024-01-02,2025-02-08,23,No,Yes,No,"Power Rangers Dino Megazord RC toys come from the long-running licensed Power Rangers product ecosystem tied to Bandai-era and later reissue cycles. Dino-themed Megazord variants were strongest in the 1990s and 2000s collector memory, with radio-control spin-offs appearing in multiple regional toy lines.

Most units use injection-molded ABS/PVC body parts, simple geared drivetrains, and a battery-powered RC control board. Market value depends heavily on completeness (controller, battery cover, decals), with boxed and fully functional examples attracting the strongest buyer interest.",,"electronic, mechanical",,
