id,folder,needs,image_count,has_item_details,has_repair_details,current_title,current_description_preview

0001,"0001 - Saielle of the Willow Tree","title",6,1,1,"Saielle of the Willow Tree","Fixed with no drama! 🛠️✨ Just finished a tricky restoration on ""Saielle of the Willow Tree"" from the vintage Enchanted "
0004,"0004 - Gemmy Rocky Balboa","description",1,1,1,"Gemmy Rocky Balboa animated figure — gear and stage","Gemmy Rocky Balboa — electronics repair and mechanical repair."
0005,"0005 - Vintage giant Smurf plush","description",1,1,1,"Peyo giant Smurf plush — restuff and clean","Vintage giant Smurf plush — sewing and fabric repair, restuffing, and cleaning and refresh."
0006,"0006 - Tomy Plarail Edward","description",1,1,1,"Tomy Plarail Edward — motor and wiring","Tomy Plarail Edward — electronics repair, soldering, and mechanical repair."
0007,"0007 - Patchwork teddy bear with heart","description",1,1,1,"Patchwork teddy bear — head reattach and restuff","Patchwork teddy bear with heart — sewing and restuffing."
0008,"0008 - Large floppy brown cream dog","description",1,1,1,"Brown floppy-ear dog plush","Large floppy brown cream dog — cleaning and refresh and sewing and fabric repair."
0009,"0009 - Hey Duggee interactive plush","description",14,1,1,"Hey Duggee interactive plush — sound and motion","Hey Duggee interactive plush — electronics repair, sewing and fabric repair, and cleaning and refresh."
0010,"0010 - Guitar Hero World Tour guitar","description",1,1,1,"Guitar Hero World Tour wireless guitar (Xbox 360)","Guitar Hero World Tour guitar — electronics repair and mechanical repair."
0011,"0011 - Ahsoka Tano Legacy lightsabers","description",1,1,1,"Ahsoka Legacy lightsaber set (pair)","Ahsoka Tano Legacy lightsabers — electronics repair and soldering."
0012,"0012 - Jakks First Order Stormtrooper Battle Buddy","description",1,1,1,"Jakks First Order Stormtrooper Battle Buddy (48 in)","Jakks First Order Stormtrooper Battle Buddy — electronics repair and cleaning and refresh."
0013,"0013 - Press heart talking bear","description",1,1,1,"Vintage Press-heart talking bear","Press-heart talking bear — electronics repair, sewing and fabric repair, and cleaning and refresh."
0014,"0014 - Tomy Big Loader power unit","description",2,1,1,"Tomy Big Loader power unit and shells","Tomy Big Loader power unit — electronics repair and mechanical repair."
0015,"0015 - Anpanman Kotoba Zukan DX","description",1,1,1,"Anpanman ことばずかん DX — reading pen","Anpanman Kotoba Zukan DX — electronics repair and cleaning and refresh."
0016,"0016 - Grey bashful bunny plush","description + title",6,1,0,"","Grey bashful bunny plush — cleaning and refresh, restuffing, and sewing and fabric repair."
0017,"0017 - Soft jacket","description + title",0,0,0,"","Soft jacket repair — sewing and fabric repair."
0018,"0018 - Power Rangers Dino Megazord RC","description + title",23,1,0,"","Power Rangers Dino Megazord RC — electronics repair and mechanical repair."
0019,"0019 - Bear in giraffe onesie plush","description + title",2,1,0,"","Bear in giraffe onesie plush — cleaning and refresh, restuffing, and sewing and fabric repair."
0020,"0020 - Christmas bear music box figurine","description + title",3,1,0,"","Christmas bear music box figurine — mechanical repair and cleaning and refresh."
0021,"0021 - Purple tie dye monkey plush","description + title",1,1,0,"","Purple tie-dye monkey plush — sewing and restuffing."
0022,"0022 - Pokemon Pikachu 2 GS pair","description + title",6,1,0,"","Pokemon Pikachu 2 GS pair — electronics repair and cleaning and refresh."
0024,"0024 - Atomizer","description + title",0,0,0,"","Atomizer — electronics repair."
0025,"0025 - Hamish yellow teddy bear","description + title",9,1,0,"","Hamish yellow teddy bear — cleaning and refresh, restuffing, and sewing and fabric repair."
0026,"0026 - Lion 2m display","description + title",0,0,0,"","Lion 2m display — mechanical repair."
0027,"0027 - Playmates Amazing dolls trio","description + title",23,1,0,"","Playmates Amazing dolls trio — electronics repair, mechanical repair, and cleaning and refresh."
0028,"0028 - Vintage five joint mohair teddy","description + title",15,1,0,"","Vintage five-joint mohair teddy — cleaning and refresh, restuffing, and sewing and fabric repair."
0029,"0029 - Bumblebear adding sound module","description + title",0,0,0,"","Bumblebear adding sound module — electronics repair and sewing and fabric repair."
0030,"0030 - KFC Chicky footballer figurines","description + title",4,1,0,"","KFC Chicky footballer figurines — adhesive and structural."
0031,"0031 - Mickey and Goofy plush pair","description + title",1,1,0,"","Mickey and Goofy plush pair — cleaning and refresh, sewing and fabric repair, and restuffing."
0032,"0032 - Kitchen witch on broomstick","description + title",4,1,0,"","Kitchen witch on broomstick — sewing and cleaning."
0033,"0033 - Phone and Mic toys","description + title",0,0,0,"","Phone and Mic toys — electronics repair."
0034,"0034 - Miniso radish plush","description + title",2,1,0,"","Miniso radish plush — cleaning and refresh and stain removal."
0035,"0035 - Jurassic Park electronic T Rex","description + title",18,1,0,"","Jurassic Park electronic T-Rex — electronics repair, mechanical repair, and cleaning and refresh."
0036,"0036 - Brown sherpa teddy blue ribbon","description + title",9,1,0,"","Brown sherpa teddy blue ribbon — sewing and fabric repair, restuffing, and cleaning and refresh."
0037,"0037 - Jellycat Blossom bunny","description + title",12,1,0,"","Jellycat Blossom bunny — sewing and cleaning."
0038,"0038 - Hallmark reading buddy teddy","description + title",10,1,0,"","Hallmark reading buddy teddy — electronics repair, soldering, and sewing and fabric repair."
0039,"0039 - CoComelon Cece plush","description + title",7,1,0,"","CoComelon Cece plush — sewing and fabric repair."
0040,"0040 - Christmas toy train set","description + title",4,1,0,"","Christmas toy train set — mechanical repair and electronics repair."
0041,"0041 - Tonka Chuck and Friends trucks","description + title",8,1,0,"","Tonka Chuck and Friends trucks — electronics repair, mechanical repair, and cleaning and refresh."
0042,"0042 - Soft cloth baby doll","description + title",11,1,0,"","Soft cloth baby doll — sewing and cleaning."
0043,"0043 - Verna 1960s vintage teddy","description + title",0,0,0,"","Verna 1960s vintage teddy — sewing and fabric repair, restuffing, and cleaning and refresh."
0044,"0044 - Kosen white plush horse","description + title",12,1,0,"","Kosen white plush horse — sewing and restuffing."
0045,"0045 - Beanie Boo husky plush","description + title",2,1,0,"","Beanie Boo husky plush — sewing and cleaning."
0046,"0046 - Astro Wars electronic game","description + title",4,1,0,"","Astro Wars electronic game — electronics repair and mechanical repair."
0047,"0047 - Teddy bear","description + title",0,0,0,"","Teddy bear — cleaning and refresh."
0048,"0048 - Vintage Santa Christmas figure","description + title",7,1,0,"","Vintage Santa Christmas figure — electronics repair, mechanical repair, and sewing and fabric repair."
0049,"0049 - He Man action figure","description + title",0,0,0,"","He-Man action figure — assessed non-repairable for the reported fault."
0050,"0050 - Toy Story Woody pull string doll","description + title",4,1,0,"","Toy Story Woody pull-string doll — electronics repair, mechanical repair, and cleaning and refresh."
0051,"0051 - Harold singing reindeer","description + title",7,1,0,"","Harold singing reindeer — mechanical repair, electronics repair, and sewing and fabric repair."
0052,"0052 - Singing Elvis Christmas dog","description + title",10,1,0,"","Singing Elvis Christmas dog — electronics repair and soldering."
0053,"0053 - Playskool Kota Triceratops","description + title",33,1,0,"","Playskool Kota Triceratops — electronics repair, mechanical repair, and cleaning and refresh."
0055,"0055 - Santa Homer Simpson animatronic","description + title",21,1,0,"","Santa Homer Simpson animatronic — mechanical repair, electronics repair, and cleaning and refresh."
0056,"0056 - Snow woman animatronic","description + title",0,0,0,"","Snow woman animatronic — mechanical repair and electronics repair."
0057,"0057 - Yellow Yoshi plush","description + title",6,1,0,"","Yellow Yoshi plush — sewing and cleaning."
0058,"0058 - John Deere ride on tractor","description + title",7,1,0,"","John Deere ride-on tractor — electronics repair and battery and power repair."
0059,"0059 - Brown kangaroo plush tan pouch","description + title",6,1,0,"","Brown kangaroo plush tan pouch — sewing and fabric repair, restuffing, and cleaning and refresh."
